정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1052,물병
true,1065,한수
true,1068,트리
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1303,전쟁 - 전투
true,1309,동물원
true,1316,그룹 단어 체커
true,1326,폴짝폴짝
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1377,버블 소트
true,1402,아무래도이문제는A번난이도인것같다
true,1427,소트인사이드
true,1448,삼각형 만들기
true,1453,피시방 알바
true,1463,1로 만들기
true,1495,기타리스트
true,1526,가장 큰 금민수
true,1546,평균
true,1547,공
true,1550,16진수
true,1592,영식이와 친구들
true,1598,꼬리를 무는 숫자 나열
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1699,제곱수의 합
true,1717,집합의 표현
true,1735,분수 합
true,1753,최단경로
true,1759,암호 만들기
true,1780,종이의 개수
true,1871,좋은 자동차 번호판
true,1890,점프
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1926,그림
true,1932,정수 삼각형
true,1934,최소공배수
true,1958,LCS 3
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1975,Number Game
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2018,수들의 합 5
true,2023,신기한 소수
true,2033,반올림
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2160,그림 비교
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2217,로프
true,2231,분해합
true,2239,스도쿠
true,2246,콘도 선정
true,2293,동전 1
true,2302,극장 좌석
true,2312,수 복원하기
true,2331,반복수열
true,2355,시그마
true,2417,정수 제곱근
true,2420,사파리월드
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2485,가로수
true,2490,윷놀이
true,2491,수열
true,2493,탑
true,2495,연속구간
true,2501,약수 구하기
true,2506,점수계산
true,2508,사탕 박사 고창영
true,2515,전시장
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2530,인공지능 시계
true,2547,사탕 선생 고창영
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2596,비밀편지
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2655,가장높은탑쌓기
true,2659,십자카드 문제
true,2665,미로만들기
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2684,동전 게임
true,2693,N번째 큰 수
true,2702,초6 수학
true,2703,Cryptoquote
true,2711,오타맨 고창영
true,2712,미국 스타일
true,2720,세탁소 사장 동혁
true,2729,이진수 덧셈
true,2737,연속 합
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2789,유학 금지
true,2798,블랙잭
true,2799,블라인드
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2857,FBI
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2884,알람 시계
true,2890,카약
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2942,퍼거슨과 사과
true,2947,나무 조각
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2986,파스칼
true,2992,크면서 작은 수
true,2997,네 번째 수
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3034,앵그리 창영
true,3041,N-퍼즐
true,3046,R2
true,3047,ABC
true,3048,개미
true,3052,나머지
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3061,사다리
true,3062,수 뒤집기
true,3076,상근이의 체스판
true,3108,로고
true,3216,다운로드
true,3449,해밍 거리
true,3460,이진수
true,3943,헤일스톤 수열
true,4101,크냐?
true,4217,신성 문자
true,4256,트리
true,4388,받아올림
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4493,가위 바위 보?
true,4504,배수 찾기
true,4539,반올림
true,4673,셀프 넘버
true,4766,일반 화학 실험
true,4880,다음수
true,4921,나무 블록
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4998,저금
true,4999,아!
true,5032,탄산 음료
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5176,대회 자리
true,5217,쌍의 합
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5354,J박스
true,5355,화성 수학
true,5361,전투 드로이드 가격
true,5363,요다
true,5522,카드 게임
true,5525,IOIOI
true,5532,방학 숙제
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5582,공통 부분 문자열
true,5586,JOI와 IOI
true,5613,계산기 프로그램
true,5618,공약수
true,5635,생일
true,5639,이진 검색 트리
true,5656,비교 연산자
true,5671,호텔 방 번호
true,5679,Hailstone Sequences
true,5717,상근이의 친구들
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,5893,17배
true,5911,선물
true,6064,카잉 달력
true,6131,완전 제곱수
true,6378,디지털 루트
true,6502,동혁 피자
true,6588,골드바흐의 추측
true,6679,싱기한 네자리 숫자
true,6884,소수 부분 수열
true,7287,등록
true,7476,최대 공통 증가 수열
true,7489,팩토리얼
true,7490,0 만들기
true,7510,고급 수학
true,7512,연속하는 소수의 합
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7571,점 모으기
true,7572,간지(干支)
true,7576,토마토
true,7894,큰 수
true,8320,직사각형을 만드는 방법
true,8393,합
true,8394,악수
true,8595,히든 넘버
true,8741,이진수 합
true,8949,대충 더해
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9020,골드바흐의 추측
true,9047,6174
true,9076,점수 집계
true,9082,지뢰찾기
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9237,이장님 초대
true,9243,파일 완전 삭제
true,9251,LCS
true,9252,LCS 2
true,9322,철벽 보안 알고리즘
true,9324,진짜 메시지
true,9325,얼마?
true,9372,상근이의 여행
true,9421,소수상근수
true,9437,사라진 페이지 찾기
true,9440,숫자 더하기
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9469,폰 노이만
true,9470,Strahler 순서
true,9498,시험 성적
true,9575,행운의 수
true,9576,책 나눠주기
true,9610,사분면
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9663,N-Queen
true,9733,꿀벌
true,9946,단어 퍼즐
true,9999,구구
true,10039,평균 점수
true,10041,관광
true,10093,숫자
true,10101,삼각형 외우기
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10166,관중석
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10214,Baseball
true,10216,Count Circle Groups
true,10218,Maze
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10253,헨리
true,10258,스위치 배열
true,10430,나머지
true,10448,유레카 이론
true,10540,KLOPKA
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10768,특별한 날
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10813,공 바꾸기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10824,네 수
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11023,더하기 3
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11057,오르막 수
true,11059,크리 문자열
true,11066,파일 합치기
true,11068,회문인 수
true,11375,열혈강호
true,11403,경로 찾기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,14889,스타트와 링크
false,2582,동전 뒤집기 2
